year_month,borough,borocode,sales_index,rental_index
2026-05,MN,1,1054545,
2026-05,BK,3,745427,
2026-05,QN,4,536859,
2026-05,NYC,,625805,
2026-04,MN,1,1057990,4322
2026-04,BK,3,737779,3605
2026-04,QN,4,543897,2756
2026-04,NYC,,629320,3836
2026-03,MN,1,1067374,4279
2026-03,BK,3,746819,3583
2026-03,QN,4,536805,2743
2026-03,NYC,,632277,3805
2026-02,MN,1,1071609,4246
2026-02,BK,3,726981,3570
2026-02,QN,4,540977,2731
2026-02,NYC,,629943,3782
2026-01,MN,1,1071472,4228
2026-01,BK,3,729051,3561
2026-01,QN,4,540585,2734
2026-01,NYC,,629150,3772
2025-12,MN,1,1068998,4232
2025-12,BK,3,731343,3554
2025-12,QN,4,535554,2741
2025-12,NYC,,627531,3772
2025-11,MN,1,1065383,4239
2025-11,BK,3,733996,3562
2025-11,QN,4,535321,2743
2025-11,NYC,,627295,3780
2025-10,MN,1,1064950,4250
2025-10,BK,3,729470,3568
2025-10,QN,4,527411,2738
2025-10,NYC,,620259,3787
2025-09,MN,1,1064463,4253
2025-09,BK,3,725244,3566
2025-09,QN,4,527545,2736
2025-09,NYC,,618539,3788
2025-08,MN,1,1065943,4228
2025-08,BK,3,724530,3548
2025-08,QN,4,524010,2725
2025-08,NYC,,617695,3767
2025-07,MN,1,1059720,4189
2025-07,BK,3,726251,3524
2025-07,QN,4,525258,2703
2025-07,NYC,,617683,3736
2025-06,MN,1,1060547,4146
2025-06,BK,3,726911,3503
2025-06,QN,4,527104,2677
2025-06,NYC,,619462,3703
2025-05,MN,1,1059745,4099
2025-05,BK,3,733961,3475
2025-05,QN,4,524680,2659
2025-05,NYC,,621927,3667
2025-04,MN,1,1062728,4056
2025-04,BK,3,733088,3446
2025-04,QN,4,525219,2650
2025-04,NYC,,623684,3633
2025-03,MN,1,1065825,4020
2025-03,BK,3,734028,3417
2025-03,QN,4,521924,2647
2025-03,NYC,,623924,3605
2025-02,MN,1,1066112,3985
2025-02,BK,3,731366,3396
2025-02,QN,4,520814,2639
2025-02,NYC,,622359,3580
2025-01,MN,1,1067072,3967
2025-01,BK,3,728809,3390
2025-01,QN,4,516204,2635
2025-01,NYC,,620056,3570
2024-12,MN,1,1061430,3963
2024-12,BK,3,726782,3379
2024-12,QN,4,516325,2635
2024-12,NYC,,618564,3563
2024-11,MN,1,1057836,3973
2024-11,BK,3,722994,3380
2024-11,QN,4,515983,2633
2024-11,NYC,,617399,3568
2024-10,MN,1,1054188,3983
2024-10,BK,3,717659,3389
2024-10,QN,4,516568,2638
2024-10,NYC,,614062,3576
2024-09,MN,1,1067615,3995
2024-09,BK,3,716296,3394
2024-09,QN,4,515746,2636
2024-09,NYC,,614485,3583
2024-08,MN,1,1067197,3993
2024-08,BK,3,718208,3388
2024-08,QN,4,517607,2632
2024-08,NYC,,615414,3579
2024-07,MN,1,1068379,3971
2024-07,BK,3,727432,3374
2024-07,QN,4,514885,2615
2024-07,NYC,,616510,3561
2024-06,MN,1,1059276,3940
2024-06,BK,3,721678,3352
2024-06,QN,4,514694,2602
2024-06,NYC,,614102,3537
2024-05,MN,1,1057552,3902
2024-05,BK,3,725307,3327
2024-05,QN,4,513328,2586
2024-05,NYC,,615629,3507
2024-04,MN,1,1060181,3861
2024-04,BK,3,724470,3312
2024-04,QN,4,517632,2571
2024-04,NYC,,616115,3479
2024-03,MN,1,1059874,3829
2024-03,BK,3,715533,3291
2024-03,QN,4,518717,2564
2024-03,NYC,,616097,3455
2024-02,MN,1,1061155,3808
2024-02,BK,3,718000,3273
2024-02,QN,4,514526,2553
2024-02,NYC,,616018,3436
2024-01,MN,1,1067185,3797
2024-01,BK,3,723035,3262
2024-01,QN,4,513120,2547
2024-01,NYC,,617926,3426
2023-12,MN,1,1066897,3800
2023-12,BK,3,715030,3258
2023-12,QN,4,515502,2547
2023-12,NYC,,616112,3426
2023-11,MN,1,1071968,3818
2023-11,BK,3,713767,3275
2023-11,QN,4,513685,2545
2023-11,NYC,,616131,3440
2023-10,MN,1,1075196,3842
2023-10,BK,3,722439,3285
2023-10,QN,4,514016,2548
2023-10,NYC,,616886,3455
2023-09,MN,1,1075915,3859
2023-09,BK,3,723147,3283
2023-09,QN,4,517456,2545
2023-09,NYC,,618578,3464
2023-08,MN,1,1071499,3863
2023-08,BK,3,721938,3269
2023-08,QN,4,519116,2544
2023-08,NYC,,618635,3461
2023-07,MN,1,1071396,3846
2023-07,BK,3,721441,3244
2023-07,QN,4,526261,2530
2023-07,NYC,,620455,3443
2023-06,MN,1,1065922,3820
2023-06,BK,3,722841,3213
2023-06,QN,4,525527,2508
2023-06,NYC,,621614,3416
2023-05,MN,1,1071488,3789
2023-05,BK,3,718036,3187
2023-05,QN,4,525761,2485
2023-05,NYC,,622742,3388
2023-04,MN,1,1071404,3760
2023-04,BK,3,718924,3163
2023-04,QN,4,520397,2465
2023-04,NYC,,621588,3362
2023-03,MN,1,1081411,3733
2023-03,BK,3,718146,3144
