date.1,Value,SPID,PseudoBaseline,Baseline Perc Chg
12/1/2025,240231,35,340637.0968,0.7052
11/1/2025,222491,35,337864.2667,0.6585
10/1/2025,220235,35,366694.5806,0.6006
9/1/2025,217063,35,377812.5333,0.5745
8/1/2025,236501,35,404178.1935,0.5851
7/1/2025,232282,35,403714.3226,0.5754
6/1/2025,240652,35,394555.1667,0.6099
5/1/2025,229226,35,375576.9677,0.6103
4/1/2025,233640,35,375223.6,0.6227
3/1/2025,220262,35,302374,0.7284
2/1/2025,181097,35,331025.7241,0.5471
1/1/2025,181209,35,303337.5161,0.5974
12/1/2024,236617,35,340637.0968,0.6946
11/1/2024,224973,35,337864.2667,0.6659
10/1/2024,231677,35,366694.5806,0.6318
9/1/2024,214347,35,377812.5333,0.5673
8/1/2024,223458,35,404178.1935,0.5529
7/1/2024,234933,35,403714.3226,0.5819
6/1/2024,227920,35,394555.1667,0.5777
5/1/2024,233855,35,375576.9677,0.6227
4/1/2024,210409,35,375223.6,0.5608
3/1/2024,215794,35,302374,0.7137
2/1/2024,195692,35,331025.7241,0.5912
1/1/2024,169072,35,303337.5161,0.5574
12/1/2023,198959,35,340637.0968,0.5841
11/1/2023,187719,35,337864.2667,0.5556
10/1/2023,213616,35,366694.5806,0.5825
9/1/2023,230293,35,377812.5333,0.6095
8/1/2023,258766,35,404178.1935,0.6402
7/1/2023,230091,35,403714.3226,0.5699
6/1/2023,212059,35,394555.1667,0.5375
5/1/2023,219101,35,375576.9677,0.5834
4/1/2023,212558,35,375223.6,0.5665
3/1/2023,195637,35,302374,0.647
2/1/2023,171226,35,331025.7241,0.5173
1/1/2023,161450,35,303337.5161,0.5322
12/1/2022,206329,35,340637.0968,0.6057
11/1/2022,203389,35,337864.2667,0.602
10/1/2022,230484,35,366694.5806,0.6285
9/1/2022,240104,35,377812.5333,0.6355
8/1/2022,265406,35,404178.1935,0.6567
7/1/2022,287395,35,403714.3226,0.7119
6/1/2022,291796,35,394555.1667,0.7396
5/1/2022,263888,35,375576.9677,0.7026
4/1/2022,243767,35,375223.6,0.6497
3/1/2022,219004,35,302374,0.7243
2/1/2022,171911,35,331025.7241,0.5193
1/1/2022,122312,35,303337.5161,0.4032
